Item,Category,Purpose,Source,Est. Price (USD),Link,Link Type
Razer Kunai Hydraulic 120mm aRGB Fan,Fan,Main cooling fan + underglow,Amazon,28.00,https://www.amazon.com/Razer-Kunai-Hydraulic-120MM-aRGB/dp/B09JRMGLQF,item
USB 5V to 12V Step-Up Cable (3/4-pin fan end),Power,Boosts USB 5V to 12V for fan motor,AliExpress,2.00,https://www.aliexpress.com/item/1005006048065687.html,item
3-Pin ARGB USB Controller,Lighting,Drives fan LEDs from USB,Amazon,7.00,https://www.amazon.com/ELFJMZP-ARGB-LED-Controller-3-Pin/dp/B0FLY3J3YZ,item
KCD1 Mini Rocker Switch,Switch,Master on/off for unit,AliExpress,1.50,https://www.aliexpress.com/w/wholesale-kcd1-rocker-switch.html,search
M4 Brass Heat-Set Inserts (20-pack),Fasteners,Threads in printed bosses,AliExpress,2.20,https://www.aliexpress.com/w/wholesale-m4-brass-heat-set-insert.html,search
M4 x 20mm Machine Screws (20-pack),Fasteners,Mount fan into inserts,AliExpress,1.80,https://www.aliexpress.com/w/wholesale-m4-hex-socket-cap-screw.html,search
Heat Shrink Tubing Assortment,Wiring,Insulate switch splice,AliExpress,1.50,https://www.aliexpress.com/w/wholesale-heat-shrink-tube-assortment-kit.html,search
PETG Filament - 150g consumed,Materials,Prints the enclosure,AliExpress,3.00,https://www.aliexpress.com/w/wholesale-petg-filament-1-75mm.html,search
Hackpad Soldering Grant,Grant,Covers soldering/tooling costs,Hack Club,18.00,,grant
TOTAL,,,,65.00,,
